division,category,retail_price
Combi,Basic,95
Combi,Luxuy Woodlook,105
Combi,Woodlook Normal,114
Combi,Woodlook Premiere,117
Combi,3-Color Wooklook,117
Combi,Orion,115
Combi,Orion Premier,118
Combi,Provence,126
Special Combi,Woolsy,138
Special Combi,Indian S/T,145
Special Combi,Eco 7 Line Pleated,132
Special Combi,Elegance,135
Special Combi,Open Grace 2 Line Pleated,149
Special Combi,Twins Metal 8-Line,158
Special Combi,Cube,200
Combi Blackout,Mirage,150
Combi Blackout,Joker 1 Tone,165
Combi Blackout,Joker 2 Tone,165
Combi Blackout,Full House,185
Combi Blackout,Wide Blackout,195
Combi Blackout,Luxuy Blackout,140
Combi Blackout,Luxury Wide Blackout,140
Tripe Shade,Bres,185
Tripe Shade,Pop 3D,140
Tripe Blackout,New Triple Blackout,215
Vertical Blinds,Noblesse,200
Vertical Blinds,Noblesse (Both Sides),200
Vertical Blinds,Smart Curtain (Plain),200
Vertical Blinds,Smart Curtain (Honey),200
Roll Up,Terace,68
Roll Up,T/C,68
Roll Up,Mono,76
Roll Up,Eco Screen 1,82
Roll Up,Cubic,82
Roll Up,Cello Single,87
Roll Up,Hanoi,89
Roll Up Blackout,Single Blackout,83
Roll Up Blackout,Pearl Blackout,86
Roll Up Blackout,Harmony Blackout,96
Roll Up Blackout,100% Blackout,99
Roll Up Blackout,1100,76
Roll Up Blackout,200,72
Roll Up Blackout,6900,78
Roll Up Blackout,8800,78
Roll Up Blackout,9100,78
Roll Up Blackout,9300,78
Roll Up Blackout,B570,80
Roll Up Blackout,B6800,78
Roll Up Blackout,W610,69
Roll Up Blackout,3004,80
Sunscreen,Sunscreen,88
Sunscreen,1079,80
Sunscreen,1080,80
Sunscreen,1078,75
Sunscreen,HDN Blackout,350
Sunscreen,HDN Duo,190
Sunscreen,New HDL Duo,205
Sunscreen,HDL 38MM Blackout,350
Sunscreen,HDL 38MM General,240
Woodblinds,Woodblinds (Ladder Type) +P20/sqft,220
Vertical Motorized,Vertical Motorized,18000
Vertical Motorized,Remote Control,1500
Curtains,Curtains,380
Curtains,Sheer,120
Curtains,Blackout Curtains,250
Curtains,Curtain Motorized,11000
